Word:			1	1b	2	2b	3	3b	4	4b	5	5b
jaybird			0	0	0	0	0	0.00015	0	0	0	0
speckin'		0	0	0	0	0	0.00015	0	0	0	0
behavior		0	4e-05	5e-05	0	2e-05	3e-05	0	2e-05	0	4e-05
munitions		0	0	0.00015	0.00013	0	0	0	0	0	0
notify			0	0	0.00021	0	0	0	0	0	0	0
recurred		0	0	0	0	0.00011	0	0	0	0	0
passing			1e-05	1e-05	0	2e-05	3e-05	1e-05	3e-05	2e-05	2e-05	3e-05
hare			0	0	0.00021	0	0	0	0	0	0	0
peculiarities		0	0	0	0	0	0	0.00011	0	0	0
sons'			0	0	0	0	0	0.0003	0	0	0	0
avowal			0	0	0	0.00019	0	0	0	0	0	0
rene's			0	0	0	0	0	0	7e-05	0.00011	0	0
considerate		0	0	0	0	0	0	0	8e-05	0	0
banked			0	0	0.00045	0	0	0	7e-05	0	0	0
mystifying		0.00024	0	0	0	0	0	0	0	0	0
lithe			0	0	0.00011	0	6e-05	0	0	0	0	0.0001
doorknob		0	0	0	0.00019	0	0	0	0	0	0
parasols		0	0.00029	0.00017	8e-05	4e-05	0	0	0	0	0
prison			0	2e-05	2e-05	7e-05	2e-05	9e-05	2e-05	2e-05	1e-05	0
jockeying		0	0.00018	0	0	0	0	0	0	0	0
dandified		0	0	0	0	0	0	0.00011	0	0	0
sincere			0	9e-05	0.00011	0.0002	0	0	0	0	0	0
solemn			0.00012	9e-05	0	0	0	0	0	8e-05	0	0
drunkenly		0	0	0	0	0.00015	0	0	0	0	0.00013
hardest			0	0	0	0	0	0	0	6e-05	0.0001	0
depredations		0.00016	0	0	0	0	0	7e-05	0	0	0
balky			0	0	0	0	7e-05	0.0001	0	0	0	0
forgettin'		0	0.00018	0	0	0	0	0	0	0	0
oath			4e-05	3e-05	3e-05	0.00012	0	0	0.0002	0.00012	0	3e-05
friday			0	0	0.00021	0	0	0	0	0	0	0
upturned		9e-05	0.00014	0	0	0	0	0	3e-05	6e-05	0
moist			0.00014	5e-05	0	0	6e-05	0	0	7e-05	0	0.00011
streaming		0	0.00011	0	0	6e-05	0.00022	0	7e-05	0.00013	0
countered		0	0.00013	0	0	0	0	7e-05	0	0	0
